"Song_Name","View_Count","Like_Count"
"Will You Love Me Tomorrow Shirelles",11038942,92542
"Georgia On My Mind Ray Charles",2077198,28663
"Let's Go, Let's Go, Let's Go Hank Ballard & the Midnighters",647485,4972
"Stay Maurice Williams & the Zodiacs",9269625,56605
"Chain Gang Sam Cooke",8136356,72602
"Save The Last Dance For Me Drifters",35736750,160597
"Shop Around Miracles",359871,3445
"The Twist Chubby Checker",5935430,39116
"Cathy's Clown Everly Brothers",3833138,26571
"Stand By Me Ben E. King",9899281,91611
"Crazy Patsy Cline",19023476,204739
"The Wanderer Dion",32245658,298597
"Runaround Sue Dion",30484544,297316
"Crying Roy Orbison",7695729,56769
"Hit The Road Jack Ray Charles",17898477,319281
"Runaway Del Shannon",7875941,81034
"Quarter To Three Gary U.S. Bonds",264328,2592
"It Will Stand Showmen",506756,2134
"Running Scared Roy Orbison",677486,7518
"Bring It On Home To Me Sam Cooke",5419440,60149
"You've Really Got A Hold On Me Miracles",10804387,105068
"The Loco-Motion Little Eva",23747401,134406
"Sherry Four Seasons",6716155,65981
"I Can't Stop Loving You Ray Charles",2014423,19298
"Up On The Roof Drifters",7641554,47939
"Twist And Shout Isley Brothers",4694632,29622
"These Arms Of Mine Otis Redding",16481668,125033
"Do You Love Me Contours",762014,11931
"Louie Louie Kingsmen",8743252,120229
"She Loves You Beatles",12652322,119731
"I Want To Hold Your Hand Beatles",98915519,703868
"Be My Baby Ronettes",27706470,311524
"I Saw Her Standing There Beatles",39169960,268072
"Surfin' USA Beach Boys",9870381,58214
"Glad All Over Dave Clark Five",5674723,30340
"It's All Right Impressions",2527793,25638
"Blowin' In The Wind Bob Dylan / Peter Paul & Mary",30101135,135333
"Please Please Me Beatles",11026819,84115
"My Girl Temptations",32119228,238232
"You Really Got Me Kinks",29149240,325808
"House Of The Rising Sun Animals",29695345,310559
"Where Did Our Love Go Supremes",2572523,28450
"I Get Around Beach Boys",761182,10971
"All Day And All Of The Night Kinks",9656443,86029
"Oh, Pretty Woman Roy Orbison",255288848,2174921
"A Hard Day's Night Beatles",38745061,275356
"She's Not There Zombies",6493161,63484
"(I Can't Get No) Satisfaction Rolling Stones",157357475,1020787
"Like A Rolling Stone Bob Dylan",44504583,286223
"In The Midnight Hour Wilson Pickett",13689092,72716
"Papa's Got A Brand New Bag James Brown",6375771,53038
"My Generation The Who",18060430,150531
"Yesterday Beatles",50566752,534997
"Ticket To Ride Beatles",70021715,395416
"The Tracks Of My Tears Miracles",15728845,108870
"Good Vibrations Beach Boys",8628137,85215
"When A Man Loves A Woman Percy Sledge",8199484,75574
"Reach Out, I'll Be There Four Tops",14382813,121106
"Gimme Some Lovin' Spencer Davis Group",3476428,40398
"Ain't Too Proud To Beg Temptations",3267019,40357
"Eight Miles High Byrds",1288935,14197
"For What It's Worth Buffalo Springfield",6968575,100133
"Paint It Black Rolling Stones",491383874,3389874
"You Keep Me Hangin' On Supremes",313816,4332
"Wild Thing Troggs",7327662,85371
"Respect Aretha Franklin",3238806,35113
"Light My Fire Doors",6575915,66166
"Sunshine Of Your Love Cream",8056850,113374
"Purple Haze Jimi Hendrix",19713095,271577
"A Day In The Life Beatles",154267566,840939
"Whiter Shade Of Pale Procol Harum",23277667,160158
