year,rank,artist,song,lyrics
1960,1,Shirelles,Will You Love Me Tomorrow,"Tonight you're mine completely|You give your love so sweetly|Tonight the light of love is in your eyes|But will you love me tomorrow?|Is this a lasting treasure|Or just a moment's pleasure?|Can I believe the magic of your sighs?|Will you still love me tomorrow?|Tonight with words unspoken|You say that I'm the only one|But will my heart be broken|When the night (When the night)|Meets the morning (Meets the morning) sun?|I'd like to know that your love|Is love I can be sure of|So tell me now, and I won't ask again|Will you still love me tomorrow?|So tell me now, and I won't ask again|Will you still love me tomorrow?|Will you still love me tomorrow?|Will you still love me—You might also like2"
1960,2,Ray Charles,Georgia On My Mind,"Georgia|Georgia|The whole day through|(The whole day through)|Just an old, sweet song|Keeps Georgia on my mind|(Georgia on my mind)|I said a-Georgia|Georgia|A song of you|(A song of you)|Comes as sweet and clear|As moonlight through the pines|Other arms a-reach out to me|Other eyes smile tenderly|Still, in the peaceful dreams, I see|The road leads back to you|I said, Georgia, oh, Georgia|No peace I find (No peace I find)|Just an old, sweet song|Keeps Georgia on my mind|(Georgia on my mind, oh)|Other arms a-reach out to me|Other eyes smile tenderly|Still, in peaceful dreams, I see|The road leads back to you|Oh, oh|Georgia|Georgia|No peace, no peace I find|Just an old, sweet song|Keeps Georgia on my mind|(Georgia on my mind)|I said, just an old, sweet song|Keeps Georgia on my mind10"
1960,4,Hank Ballard & the Midnighters,"Let's Go, Let's Go, Let's Go","There's a thrill upon the hill|Let's go, let's a-go, let's go|There's a thrill upon the hill|Let's go, let's a-go, let's go|There's a house honey, way across town|People coming from miles around|Put on your pretty red dress|Let's go see about this mess|That's it, baby let's git|And go way far upon the hill|We're gonna have a whole lotta fun|We gonna greet the risin' sun|All night long we gonna ball|Until we hear yo mama call|That's it, baby let's git|And go way far upon the hill|You might also likeThere's a thrill upon the hill|Let's go, let's a-go, let's go|There's a thrill upon the hill|Let's go, let's a-go, let's go|Let's go!|(sax & instrumental)|Eee-yeah!|Everybody's gonna be there|My friends and yours from everywhere|Oh, what a time it's gonna be!|Come on baby, let's go see|That's it, baby let's git|And go way far upon the hill|There's a thrill upon the hill|Let's go, let's a-go, let's go|There's a thrill upon the hill|A-let's go, let's a-go, let's go|Fades-|~"
1960,5,Maurice Williams & the Zodiacs,Stay,"(Please) Please, please, please|Tell me you're going to|Now your daddy don't mind|And your mommy don't mind|If we have another dance, yeah|Just one more (One more time)|Oh, won't you stay|Just a little bit longer?|Please let me dance|And say you will (Say you will)|Won't you place your sweet lips to mine?|Won't you say you love me all of the time?|(Stay) Oh yeah, just a little bit longer (Stay)|(Please) Please, please, please|Tell me you're going to|Come on, come on, come on, stay, yeah|Come on, come on, come on, stay, yeah|Come on, come on, come on, stay, whoops|Come on, come on, come on, stay, mama mamaYou might also like"
1960,6,Sam Cooke,Chain Gang,"Hoh ah, hoh, I hear something saying|Hoh ah, hoh ah|Uh ah, uh ah|Well don't you know|That's the sound of the men|Working on the chain gang|That's the sound of the men|Working on the chain gang|All day long they're saying, huh ah|Huh ah, uh ah, uh ah|Well don't you know|That's the sound of the men|Working on the chain gang|That's the sound of the men|Working on the chain gang|All day long they work so hard|Till the sun is going down|Working on the highways and byways|And wearing, wearing a frown|You hear them moaning their lives away|Then you hear somebody say;|Well don't you know|That's the sound of the men|Working on the chain gang|That's the sound of the men|Working on the chain gang|Can't you hear them singing, mmm huh hah|I'm going home one of these days huh hah|I'm going home, see my woman huh hah|Whom I love so dear|But meanwhile, I gotta work right here huh hah|Well don't you know|That's the sound of the men|Working on the chain gang|That's the sound of the men|Working on the chain gang|All day long they're singing, mm huh ah|My, my, my, my, my, my, my, my work is so hard huh ah|Gimme water, I'm thirsty, my, my work is so hard huh ah|Woah oh, y, my, my, my, my, my, my|My work is so hard huh ah6"
1960,7,Drifters,Save The Last Dance For Me,"You can dance|Every dance with the guy|Who gives you the eye|Let him hold you tight|You can smile|Every smile for the man|Who held your hand|'Neath the pale moonlight|But don't forget who's taking you home|And in whose arms you're gonna be|So darlin'|Save the last dance for me, mmm|Oh, I know (Oh, I know)|That the music's fine|Like sparkling wine|Go and have your fun|Laugh and sing (Yes, I know)|But while we're apart|Don't give your heart|To anyone|But don't forget who's taking you home|And in whose arms you're gonna be|So darlin'|Save the last dance for me, mmm|Baby, don't you know I love you so?|Can't you feel it when we touch?|I will never, never let you go|I love you, oh, so much|You can dance (You can dance)|Go and carry on|Till the night is gone|And it's time to go|If he asks (You can dance)|If you're all alone|Can he take you home|You must tell him no|'Cause don't forget who's taking you home|And in whose arms you're gonna be|So darlin'|Save the last dance for me|'Cause don't forget who's taking you home|And in whose arms you're gonna be|So darlin'|Save the last dance for me, mmm|Save the last dance for me, mmm|Save the last dance for me4"
1960,8,Miracles,Shop Around,"When I became of age, my mother called me to her side|She said, Son, you're growing up now|Pretty soon you'll take a bride|And then she said|Just because you've become a young man now (Man now, ooh)|There's still some things that you don't understand now (Stand now, ooh)|Before you ask some girl for her hand now (Hand now, ooh)|Keep your freedom for as long as you can now|My mama told me, you better shop around (Shop, shop around, uh huh-huh-huh)|Woah yeah, you better shop around (Shop, shop around)|Oh, there's some things that I want you to know now (Uh huh, ooh)|Just as sure as the wind's gonna blow now (Uh huh, ooh)|The women come and the women gonna go now (Uh huh, ooh)|Before you tell 'em that you love 'em so, now|My mama told me, you better shop around (Shop, shop around, uh huh-huh-huh)|Woah yeah, you better shop around (Shop, shop around)|Try to get yourself a bargain, son|Don't be sold on the very first one (On the first one, oh)|Now, pretty girls come a dime a dozen|Try to find you one who's gonna give you true loving|Before you take a girl and say, I do now (Uh huh, ooh)|Make sure she's in love with you, now (Uh huh, ooh)|My mama told me, you better shop around|Oh, hey-ey-hey-ey|Try to get yourself a bargain, son|Don't be sold on the very first one (On the first one, oh)|Pretty girls come a dime a dozen|Try to find you one who's gonna give you true loving|Before you take a girl and say, I do now (Uh huh, ooh)|Make sure she's in love with you now (Uh huh, ooh)|Make sure that her love is true now (Uh huh, ooh)|I'd hate to see you feeling sad and blue now (Uh huh, ooh)|My mama told me, you better shop around (Shop, shop around, uh huh-huh-huh)|Uh huh, don't let the first one get you (Shop, shop around, uh huh-huh-huh)|Oh no, 'cause I don't wanna see her with you (Shop, shop around, uh huh-huh-huh)|Uh huh, before you let her hold you tight (Shop, shop around, uh huh-huh-huh)|Oh, make sure she's alright (Shop, shop around, uh huh-huh-huh)|Uh huh, before you let 'em take your hand my son (Shop, shop around, uh huh-huh-huh)|Understand my son, be a man my son (Shop, shop around, uh huh-huh-huh)|I know you can, my son, I love you (Shop, shop around, uh huh-huh-huh)|Shop around, come on, come on3"
1960,9,Chubby Checker,The Twist,"Come on, baby, let's, do the twist|Come on, baby, let's do the twist|Take me by my little hand and go like this|Ee-yah, twist, baby, baby, twist|Ooh-ooh-ooh-yeah just like this|Come on, little miss, and do the twist|My daddy is sleepin', and Mama ain't around|Yeah, Daddy's just sleepin', and Mama ain't around|We're gonna twist 'n' twist 'n' twist 'n'|'Til we tear the house down|Come on and twist, yeah, baby, twist|Ooh-ooh-ooh-yeah just like this|Come on, little miss, and do the twist, ee-yah|Yeah, you should see my little sis|You should see my, my little sis|She really knows how to rock|She knows how to twist|Come on and twist, yeah, baby, twist|Ooh-ooh-ooh-yeah just like this|Come on, little miss, and do the twist|Yeah, mess all 'round|Yeah, twist all night|Twist3"
1960,10,Everly Brothers,Cathy's Clown,"Don't want your love any more|Don't want your kisses, that's for sure|I die each time I hear this sound|Here he comes, that's Cathy's clown|I've got to stand tall, you know a man can't crawl|For when he knows you're telling lies|And he hears them passing by|He's not a man at all|Don't want your love any more|Don't want your kisses, that's for sure|I die each time I hear this sound|Here he comes, that's Cathy's clown|When you see me shed a tear|And you know that it's sincere|Don't you think it's kind of sad, that you're treating me so bad?|Or don't you even care?|Don't want your love any more|Don't want your kisses , that's for sure|I die each time I hear this sound|Here he comes, that's Cathy's clown|That's Cathy's clown, that's Cathy's clownYou might also like2"
1961,1,Ben E. King,Stand By Me,"When the night has come|And the land is dark|And the moon is the only light we'll see|No, I won't be afraid|Oh, I won't be afraid|Just as long as you stand, stand by me|So darlin', darlin', stand by me|Oh, stand by me|Oh, stand|Stand by me, stand by me|If the sky that we look upon|Should tumble and fall|Or the mountains should crumble to the sea|I won't cry, I won't cry|No, I won't shed a tear|Just as long as you stand, stand by me|And darlin', darlin', stand by me|Oh, stand by me|Woah, stand now|Stand by me, stand by me|Darlin', darlin', stand by me|Oh, stand by me|Oh, stand now|Stand by me, stand by me|Whenever you're in trouble, won't you stand by me?|Oh, stand by me|Woah, just stand now|Oh, stand, stand by me88"
1961,2,Patsy Cline,Crazy,"Crazy, I'm crazy for feeling so lonely|I'm crazy, crazy for feeling so blue|I knew, you'd love me as long as you wanted|And then someday, you'd leave me for somebody new|Worry, why do I let myself worry?|Wondering, what in the world did I do?|Crazy, for thinking that my love could hold you|I'm crazy for trying and crazy for crying|And I'm crazy for loving you|Crazy, for thinking that my love could hold you|I'm crazy for trying and crazy for crying|And I'm crazy for loving youYou might also like4"
1961,3,Dion,The Wanderer,"Oh well, I'm the type of guy who will never settle down|Where pretty girls are, well you know that I'm around|I kiss 'em and I love 'em cause to me they're all the same|I hug 'em and I squeeze 'em; they don't even know my name|They call me the wanderer|Yeah, the wanderer|I roam around, around, around|Oh well, there's Flo on my left arm and there's Mary on my right|And Janie is the girl well that I’ll be with tonight|And when she asks me which one I love the best|I tear open my shirt and I show her Rosie on my chest|Cause I'm the wanderer|Yeah, the wanderer|I roam around, around, around|Oh well, I roam from town to town|I go through life without a care|And I'm as happy as a clown|I with my two fists of iron but I'm going nowhere|Oh yeah, I’m the type of guy that likes to roam around|I’m never in one place, I roam from town to town|And when I find myself a-fallin' for some girl|Yeah, I hop right into that car of mine and drive around the world|Yeah I'm the wanderer|Yeah, the wanderer|I roam around, around, around|Oh yeah, I'm the type of guy that likes to roam around|I'm never in one place, I roam from town to town|And when I find myself a-fallin' for some girl|I hop right into that car of mine and drive around the world|Yeah, cause I'm a wanderer|Yeah, a wanderer|I roam around, around, around, around, around, around|Cause I'm a wanderer|Yeah, a wanderer|I roam around, around, around, around, around, around, around|Cause I'm a wanderer|I'm, a wanderer|I roam around, around, around, around3"
1961,4,Dion,Runaround Sue,"Here's my story, it's sad but true|It's about a girl that I once knew|She took my love, then ran around|With every single guy in town|(Hape-hape, bum-da-hey-di-hey-di)|(Hape-hape, bum-da-hey-di-hey-di)|(Hape-hape, bum-da-hey-di-hey-di, hape)|(Hape-hape, bum-da-hey-di-hey-di)|(Hape-hape, bum-da-hey-di-hey-di)|(Hape-hape, bum-da-hey-di-hey-di, hape)|Yeah, I should have known it from the very start|This girl would leave me with a broken heart|Now, listen people what I'm tellin' you|I'd keep away from a Runaround Sue, yeah|I might miss her lips and the smile on her face|The touch of her hand and this girl's warm embrace|So, if you don't wanna cry like I do|I'd keep away from a Runaround Sue|(Hape-hape, bum-da-hey-di-hey-di)|(Hape-hape, bum-da-hey-di-hey-di)|(Hape-hape, bum-da-hey-di-hey-di, hape)|(Ahhh)|She likes to travel around, yeah|She'll love you, and she'll put you down|Now, people let me put you wise|Sue goes out with other guys|Here's the moral and the story from the guy who knows|I fell in love, and my love still grows|Ask any fool that she ever knew, they'll say|A-keep away from a Runaround Sue|(Hape-hape, bum-da-hey-di-hey-di) Yeah, keep away from this girl|(Hape-hape, bum-da-hey-di-hey-di) I know, know what she'll do|(Hape-hape, bum-da-hey-di-hey-di, hape) Keep away from Sue|(Ahhh)|She likes to travel around, yeah|She'll love you, and she'll put you down|Now, people let me put you wise|She goes out with other guys|Here's the moral and the story from the guy who knows|I fell in love, and my love still grows|Ask any fool that she ever knew, they'll tell ya|A-keep away from a Runaround Sue, yeah|Stay away from that girl|Don't you know what she'll do now|Whoa-whoa-oh-oh-oh-oh|Whoa-oh-oh-oh-oh|Whoa-oh-oh-oh-oh|Whoa-oh-oh-oh-oh|Keep away from that girl|Don't you know22"
1961,5,Roy Orbison,Crying,"I was alright for a while|I could smile for a while|But I saw you last night|You held my hand so tight|As you stopped to say, Hello|Oh, you wished me well|You couldn't tell|That I'd been crying over you|Crying over you|When you said, So long|Left me standing all alone|Alone and crying, crying|Crying, crying|It's hard to understand|But the touch of your hand|Can start me crying|I thought that I was over you|But it's true, so true|I love you even more|Than I did before|But, darling, what can I do?|For you don't love me|And I'll always be|Crying over you|Crying over you|Yes, now you're gone|And from this moment on|I'll be crying, crying|Crying, crying|Yeah, I'm crying, crying|Over you6"
1961,6,Ray Charles,Hit The Road Jack,"Hit the road, Jack, and don't ya come back|No more, no more, no more, no more|Hit the road, Jack, and don't ya come back no more|What'd you say?|Hit the road, Jack, and don't ya come back|No more, no more, no more, no more|Hit the road, Jack, and don't ya come back no more|Old woman, old woman, don't treat me so mean|You're the meanest old woman that I've ever seen|I guess if you say so|I'll have to pack my things and go (That's right)|Hit the road, Jack, and don't ya come back|No more, no more, no more, no more|Hit the road, Jack, and don't ya come back no more|What'd you say?|Hit the road, Jack, and don't ya come back|No more, no more, no more, no more|Hit the road, Jack, and don't ya come back no more|Now, baby, listen, baby, don't you treat me this way|'Cause I'll be back on my feet some day|Don't care if you do, cause it's understood|You ain't got no money, you just a no good|Well, I guess if you say so|I'll have to pack my things and go (That's right)|Hit the road, Jack, and don't ya come back|No more, no more, no more, no more|Hit the road, Jack, and don't ya come back no more|What'd you say?|Hit the road, Jack, and don't ya come back|No more, no more, no more, no more|Hit the road, Jack, and don't ya come back no more|Well (Don't ya come back no more)|Uh, what'd you say? (Don't ya come back no more)|I didn't understand you (Don't ya come back no more)|You can't mean that (Don't ya come back no more)|Oh, now, baby, please (Don't ya come back no more)|What you're trying to do to me? (Don't ya come back no more)14"
1961,7,Del Shannon,Runaway,"As I walk along I wonder|A-what went wrong with our love|A love that was so strong|And as I still walk on|I think of the things we've done together|A-while our hearts were young|I'm a-walkin' in the rain|Tears are fallin' and I feel the pain|Wishin' you were here by me|To end this misery|And I wonder|I wah-wah-wah-wah-wonder|Why|Why, why, why, why, why she ran away|And I wonder|A-where she will stay-ay|My little runaway|A-run, run, run, run, runaway|I'm a-walkin' in the rain|Tears are fallin' and I feel the pain|Wishin' you were here by me|To end this misery|I wonder|I wah-wah-wah-wah-wonder|Why|Why, why, why, why, why she ran away|And I wonder|A-where she will stay-ay|My little runaway|A-run, run, run, run, runaway|A-run, run, run, run, runaway|A-run, run, run, run, runaway12"
1961,8,Gary U.S. Bonds,Quarter To Three,"Ah, don't you know that I danced, I danced 'til quarter to three|Ah, with the help, last night, from Daddy G|He was swingin on the sax with a girl or two|And I was dancin' all over the room|Oh, don't you know the people were dancin' like they were mad|It was the swingin'est band they had, ever heard|And swingin'est song that could ever be|It was the night with Daddy G|Ah, let me tell you that I never had it so good|Yeah, and I know you never could|Until you get hip with that jive|And take a band like the Church Street Five|Don't you know that I danced, I danced 'til quarter to three|Ah, with the help last night from Daddy G|Ev'rybody was as happy as they could be|But they was swingin' with Daddy G, blow, Daddy!|Ah, blow, blow, yeah|Yay, yay, yay, yay, yeah|A just a little bit of soul now|Ah, yeah|Let me tell you that I never had it so good|Yeah, and I know you never could|Until you get hip with that jive|And take a band like the Church Street Five|Don't you know that I danced, I danced 'til quarter to three|Ah, with the help last night from Daddy G|Ev'rybody was happy as they could be|'Cause they were swingin' with Daddy G, ah blow, Daddy!|Ah, blow, blow, Daddy!|Yay, yay, yay, yay, yay, yeah|Oh, oh, yeah|Well, c'mon, c'mon|Blow, Daddy! yeah|C'mon, yeah, alright, yeah"
1961,9,Showmen,It Will Stand,"You take some music, music|Sweet flowin' music|Some movin' and groovin'|Rock and roll will stand|Take some heart beats drum beats|Finger poppin' and stompin' feet|Little dances that look so neat|You see why it will stand|Some folks don't understand it|That's why they don't demand it|They're out tryin' to ruin|Forgive them for they know not what they're doin'|Don't nick-name it|You might as well claim it|It swept this whole wide land|Rock and roll forever will stand|Hear those sax blowin'|Sharp as lightnin'|Hear those drums beatin'|Loud as thunder|You might also likeSome folks don't understand it|That's why they don't demand it|They're out tryin' to ruin|Forgive them for they know not what they're doin'|Don't you nick-name it|You might as well claim it|It will be here for ever and ever|Ain't gonna fade|Never no never|It swept this whole wide land|Sinking deep in the heart of man|Come on boy join our clan|Come on boy take my hand|Come on boy be a man|'Cause rock and roll will stand|Let's do it all over again|I feel good let's do it again|It'll be here for ever and ever|Ain't gonna fade|Never, no never"
1961,10,Roy Orbison,Running Scared,"So afraid that he might show|Yeah, runnin' scared, what would I do?|If he came back and wanted you|Just runnin' scared, feelin' low|Runnin' scared, you love him so|Just runnin' scared, afraid to lose|If he came back which one would you choose|Then all at once he was standing there|So sure of himself, his head in the air|My heart was breaking, which one would it be|You turned around and walked away with meYou might also like1"
1962,2,Sam Cooke,Bring It On Home To Me,"If you ever change your mind|About leaving, leaving me behind|Baby, bring it to me|Bring your sweet loving|Bring it on home to me|Yeah (Yeah), yeah (Yeah), yeah (Yeah)|I know I laughed when you left|But now I know I only hurt myself|Baby, bring it to me|Bring your sweet loving|Bring it on home to me|Yeah (Yeah), yeah (Yeah), yeah (Yeah)|I'll give you jewelry and money too|That ain't all, that ain't all I'll do for you|Baby, if you bring it to me|Bring your sweet loving|Bring it on home to me|Yeah (Yeah), yeah (Yeah), yeah (Yeah)|You know I'll always be your slave|'Til I'm buried, buried in my grave|Oh, honey, bring it to me|Bring your sweet loving|Bring it on home to me|Yeah (Yeah), yeah (Yeah), yeah (Yeah)|One more thing, I tried to treat you right|But you stayed out, stayed out day and night|But I forgive you, bring it to me|Bring your sweet loving|Bring it on home to me|Yeah (Yeah), yeah (Yeah), yeah (Yeah)|Yeah (Yeah), yeah (Yeah), yeah (Yeah)|Yeah (Yeah), yeah (Yeah), yeah (Yeah)|Yeah (Yeah), yeah6"
1962,3,Miracles,You've Really Got A Hold On Me,"I don't like you|But I love you|Seems that I'm always|Thinking of you|Oh, oh, oh|You treat me badly|I love you madly|You've really got a hold on me|(You've really got a hold on me)|You've really got a hold on me|You've really got a hold on me, baby|I don't want you|But I need you|Don't want to kiss you|But I need to|Oh, oh, oh|You do me wrong now|My love is strong now|You've really got a hold on me|(You've really got a hold on me)|You've really got a hold on me|You've really got a hold on me, baby|I love you and all I want you to do|Is just hold me, hold me, hold me, hold me|Tighter|Tighter|I want to leave you|Don't want to stay here|Don't want to spend another day here|Oh, oh, oh, I want to split now|I can't quit now|You've really got a hold on me|(You've really got a hold on me)|You've really got a hold on me|You've really got a hold on me, baby|I love you and all I want you to do|Is just hold me, please (Hold me)|Squeeze, hold me|(Hold me, hold me)|You've really got a hold on me|(You really got a hold on me)|I said you've really got a hold on me|(I said you've really got a hold on me)|Ya know, you've really got hold on me|(Oh, really got a hold on me)|You know, you've really got hold on me|(Oh, really got a hold on me)|I said you've really got a hold on me|(I said you've really hold on me)2"
1962,4,Little Eva,The Loco-Motion,"Everybody's doin' a brand new dance, now|(Come on, baby, do the Loco-Motion)|I know you'll get to like it if you give it a chance now|(Come on, baby, do the Loco-Motion)|My little baby sister can do it with me|It's easier than learnin' your ABCs|So come on, come on|Do the Loco-Motion with me|You gotta swing your hips, now|Come on, baby|Jump up, jump back|Well, I think you've got the knack|Whoa, whoa|Now that you can do it, let's make a chain, now|(Come on, baby, do the Loco-Motion)|A chugga-chugga motion like a railroad train, now|(Come on, baby, do the Loco-Motion)|Do it nice and easy, now, don't lose control|A little bit of rhythm and a lot of soul|Come on, come on|Do the Loco-Motion with me|Yeah, yeah, yeah, yeah|Move around the floor in a Loco-Motion|(Come on, baby, do the Loco-Motion)|Do it holding hands if you get the notion|(Come on, baby, do the Loco-Motion)|There's never been a dance that's so easy to do|It even makes you happy when you're feelin' blue|So come on, come on|Do the Loco-Motion with me|(Come on, do the Loco-Motion) You gotta swing your hips, now (Come on, do the Loco-Motion) That's right|You're doin' fine (come on, do the Loco-Motion)|Come on, baby (come on, do the Loco-Motion)|Mm, jump up, jump back (come on, do the Loco-Motion)|You're lookin' goodYou might also like3"
1962,5,Four Seasons,Sherry,"Sherry, Sherry baby|Sherry baby (Sherry baby) baby (Sherry baby)|Sherry can you come out tonight?|(Come, come, come out tonight)|Sherry baby (Sherry baby)|Sherry can you come out tonight?|(Why don't you come out, come out)|Come out to my twist party|(Come out) Where the bright lights shine|(Come out) We'll dance the night away|I'm gonna make you mine|Sherry baby (Sherry baby)|Sherry can you come out tonight?|(Come come, come out tonight)|(Come come, come out tonight)|You'd better ask your mama (Sherry baby)|Tell her everything is alright|(Why don't you come out, come out)|With your red dress on|(Come out) Mmm. you look so fine|(Come out) Move it nice and easy|Girl, you make me lose my mind|You might also likeSherry baby (Sherry baby) baby (Sherry baby)|Sherry can you come out tonight?|(Come, come, come out tonight)|(Come, come, come out tonight)|Sherry, Sherry baby|(Come, come, come out tonight)|Sherry, Sherry baby|(Come, come, come out tonight)|Sherry"
1962,6,Ray Charles,I Can't Stop Loving You,"I can't stop loving you, I've made up my mind|To live in memories of the lonesome times|I can't stop wanting you, it's useless to say|So I'll just live my life in dreams of yesterdays, dreams of yesterday|Those happy hours that we once knew|Though long ago, they still make me blue|They say that time heals a broken heart|But time has stood still since we've been apart, yeah|I can't stop loving you, I've made up my mind|To live in memories of the lonesome times|I can't stop wanting you, it's useless to say|So I'll just live my life in dreams of yesterdays|Those happy hours (Those happy hours)|That we once knew (That we once knew)|Though long ago (Though long ago)|Still make me blue (Still make me blue)|They say that time (They say that time)|Heals a broken heart (Heals a broken heart)|But time has stood still (Time has stood still)|Since we've been apart (Since we've been apart)|I can't stop loving you, I said I've made up my mind|To live in memories of the lonesome times, sing the song to me|I can't stop wanting you, it's useless to say|So I'll just live my life of dreams of yesterdays, of yesterdays2"
1962,7,Drifters,Up On The Roof,"(Up on the roof)|(Up on the roof)|When this old world starts getting me down|And people are just too much for me to face (Up on the roof)|I climb way up to the top of the stairs|And all my cares just drift right into space (Up on the roof)|On the roof, it's peaceful as can be|And there, the world below can't bother me|Let me tell you now, when I come home feeling tired and beat|I go up where the air is fresh and sweet (Up on the roof)|I get away from the hustlin' crowds|And all that rat race noise down in the street (Up on the roof)|On the roof's the only place I know|Where you just have to wish to make it so|Let's go up on the roof (Up on the roof)|At night, the stars put on a show for free|And, darling, you can share it all with me|I keep-a tellin' you-a|Right smack dab in the middle of town|I found a paradise that's trouble-proof (Up on the roof)|And if this world starts getting you down|There's room enough for two up on the roof (Up on the roof)|Up on the roof (Up on the roof)|Oh, come on, baby (Up on the roof)|Oh, come on, honey (Up on the roof)|Everything is all right (Up on the roof)1"
1962,8,Isley Brothers,Twist And Shout,"Shake it up baby now (Shake it up baby)|Twist and shout (Come on and twist and shout)|Come on baby now (Come on baby)|Come on and work it on out (Come on work it on out)|Well work it on out, honey (Work it on out)|Yeah, you look so good (You know you look so fine)|Child, you know you got me goin'|(You know you got me goin')|Just like I knew you would (Just like I knew you would)|Woooo|(Woooo)|Shake it up baby (Shake it up baby)|Twist and shout (Come on and twist and shout)|Come on come on come on baby now (Come on baby)|Come on and work it on out (Come on work it on out)|Well, listen little girl (Listen little girl)|You know you twist so fine (You know you twist so fine)|Come on and twist a little closer|(Come on and twist a little closer)|Come on and show me that you're mine|(Come on and show me you're mine)|Yeah!|(Wooooo)|Yeah!|Aaaaaaaah|Aaaaaaaah|Aaaaaaaah|Aaaaaaaah|Aaaaaaaah|Shake it up baby now (Shake it up baby)|Shake it up baby (Come on and twist and shout)|Shake it up baby (Shake it up baby)|Come on and work it on out (Oh twist and shout)|Come on baby shake it shake it shake it (Oh come on baby)|Shake it shake it shake it baby (Oh twist and shout)|Shake it shake it shake it baby (Shake it up baby)|Work it on out (Come on and work it on out)|(Wooooooo)|Shake it shake it baby (Shake it up baby)|Shake it shake it baby (Shake it up baby)|Shake it shake it certainly! (Shake it up baby)|Prrrrrr shake it baby (Shake it up baby)|Prrrrrr (woooooo) prrrrrrr prrrrrrr (Shake it up baby)|Prrrrrrrrrrr prrrrrrr prrrrrrr|Prrrrrrrrrrr1"
